^C
^t10200prova trasmissione testo              trasmissione 1
^t30300prova trasmissione testo              trasmissione 2
^t20400prova trasmissione testo              trasmissione 3
^t40500prova trasmissione testo              trasmissione 4
^t40600prova trasmissione testo              trasmissione 5
^t10700prova trasmissione testo              trasmissione 6
^t30800prova trasmissione testo              trasmissione 7
^t10900prova trasmissione testo              trasmissione 8
^t20A00prova trasmissione testo              trasmissione 9
^t10B00prova trasmissione testo              trasmissione 10
^t20C00prova trasmissione testo              trasmissione 11
^t10D00prova trasmissione testo              trasmissione 12
^t40E00prova trasmissione testo              trasmissione 13
^t10F00prova trasmissione testo              trasmissione 14
^t21000prova trasmissione testo              trasmissione 15
